open,high,low,close,volume
27398.26,27500.0,27359.22,27465.19,9470.30851
27464.65,27482.04,27307.2,27443.09,9874.42116
27443.09,27637.2,27281.93,27503.25,15683.83973
27503.25,27536.73,27351.06,27414.93,12719.89797
27414.04,27615.0,27398.0,27525.56,12368.79694
27526.17,27543.83,27057.0,27226.23,27531.29187
27227.63,27463.0,26578.0,27343.98,37576.29096
27345.82,27489.94,26904.35,27307.07,26935.7883
27309.57,27369.86,27213.3,27319.7,10637.23828
27319.7,27431.58,27270.01,27329.83,9819.65711
27329.14,27449.95,27235.0,27317.96,8984.82484
27316.12,27346.47,27138.83,27189.87,6198.88553
27192.19,27240.0,26862.15,26910.45,11973.998
26910.45,27066.0,26810.0,26907.49,17849.48994
26907.49,27125.94,26901.02,27077.54,13336.76728
27077.54,27188.09,27030.73,27104.91,8838.99341
27104.91,27187.17,27054.78,27116.07,7206.24648
27116.07,27255.19,27080.57,27198.71,6728.45942
27198.71,27291.4,27117.58,27142.0,7589.78614
27141.0,27194.28,27034.13,27060.08,6843.4622
27061.14,27089.71,26893.77,26934.96,10868.74232
26934.96,27012.21,26827.22,26974.81,11035.35735
26973.76,27094.02,26872.0,26982.58,12223.56703
26982.57,27048.0,26912.84,27043.27,7875.35788
27043.24,27108.0,26977.77,27052.8,7761.66751
27052.8,27200.0,26931.64,27160.98,14130.80346
27162.33,27388.54,27135.67,27246.96,18498.04792
27246.96,27286.65,27110.12,27178.27,11555.80436
27178.26,27365.64,27176.27,27327.72,12416.90638
27327.74,27750.0,27304.54,27546.62,29272.34072
27546.62,28186.87,27470.0,27923.37,42508.25536
27918.86,28065.0,27716.18,27897.98,26621.07609
27897.98,28320.0,27833.73,28303.69,21591.39086
28309.09,28376.0,28162.6,28255.87,23195.89167
28255.35,28390.1,27738.0,27889.22,26497.43268
27887.19,28216.92,27868.0,27975.77,16618.95971
27977.53,28162.62,27870.01,28112.88,13726.09529
28110.24,28299.31,27891.56,27972.87,15125.57902
27972.87,28057.44,27779.65,27825.47,16809.29216
27824.83,27878.89,27566.0,27675.84,17060.126
27675.84,27747.16,27213.06,27434.91,21233.70908
27436.06,27496.74,27124.47,27269.17,23114.01883
27269.18,27464.97,27141.36,27437.0,15822.68931
27436.29,27540.89,27340.88,27519.97,10628.49834
27520.9,27733.0,27465.42,27628.5,17179.642
27629.77,28268.0,27626.64,28183.13,30478.02497
28183.13,28443.32,28006.0,28313.85,33854.57156
28313.85,28472.0,28020.0,28198.04,27661.96626
28198.05,28256.98,27919.66,28101.4,21245.97981
28101.4,28267.1,28037.99,28188.93,18285.14466
28188.95,28258.58,28078.01,28224.99,15270.64968
28223.49,28226.65,27715.8,27822.73,30001.32467
27821.17,28150.0,27816.66,28055.89,28154.0814
28054.95,28129.83,27620.0,27694.46,20406.31459
27698.15,27787.74,27461.35,27553.81,26977.77628
27553.81,27800.0,27489.45,27626.96,18008.49882
27623.82,28041.48,27570.58,27980.02,20465.94384
27980.02,28013.0,27633.17,27785.1,16860.83958
27784.57,28034.19,27752.94,28001.0,12624.37895
28002.37,28186.71,27921.68,27996.09,11012.9752
27996.09,28058.1,27859.75,27952.2,9715.0828
27950.87,28015.21,27577.02,27717.01,14506.70494
27717.01,27953.33,27664.51,27850.21,15105.73382
27850.21,27934.63,27711.0,27875.65,13164.86421
27874.6,27907.8,27773.29,27779.74,11442.54447
27779.74,27838.0,27726.13,27787.29,11236.18652
27787.29,27968.0,27780.05,27906.81,12637.07836
27907.08,27917.95,27732.34,27801.41,12874.3473
27802.21,27803.21,27606.96,27637.01,15545.36084
27637.01,27684.88,27303.1,27505.25,25278.28816
27505.25,27686.42,27393.52,27646.65,18907.6183
